2018-04-26 18:11:02 upgrade mawk:arm64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2018-04-26 18:11:02 status half-configured mawk:arm64 1.3.3-17ubuntu3
2018-04-26 18:11:02 status unpacked mawk:arm64 1.3.3-17ubuntu3
2018-04-26 18:11:02 status half-installed mawk:arm64 1.3.3-17ubuntu3
2018-04-26 18:11:02 status half-installed mawk:arm64 1.3.3-17ubuntu3
2018-04-26 18:11:02 status unpacked mawk:arm64 1.3.3-17ubuntu3
2018-04-26 18:11:02 status unpacked mawk:arm64 1.3.3-17ubuntu3
2018-04-26 18:11:02 install mount:arm64 <none> 2.31.1-0.4ubuntu3
2018-04-26 18:11:02 status half-installed mount:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:11:02 status unpacked mount:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:11:02 status unpacked mount:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:11:02 install ncurses-base:all <none> 6.1-1ubuntu1
2018-04-26 18:11:02 status half-installed ncurses-base:all 6.1-1ubuntu1
2018-04-26 18:11:02 status unpacked ncurses-base:all 6.1-1ubuntu1
2018-04-26 18:11:02 status unpacked ncurses-base:all 6.1-1ubuntu1
2018-04-26 18:11:02 install ncurses-bin:arm64 <none> 6.1-1ubuntu1
2018-04-26 18:11:02 status half-installed ncurses-bin:arm64 6.1-1ubuntu1
2018-04-26 18:11:02 status unpacked ncurses-bin:arm64 6.1-1ubuntu1
2018-04-26 18:11:02 status unpacked ncurses-bin:arm64 6.1-1ubuntu1
2018-04-26 18:11:02 install passwd:arm64 <none> 1:4.5-1ubuntu1
2018-04-26 18:11:02 status half-installed passwd:arm64 1:4.5-1ubuntu1
2018-04-26 18:11:02 status unpacked passwd:arm64 1:4.5-1ubuntu1
2018-04-26 18:11:02 status unpacked passwd:arm64 1:4.5-1ubuntu1
2018-04-26 18:11:02 upgrade perl-base:arm64 5.26.1-6 5.26.1-6
2018-04-26 18:11:02 status half-configured perl-base:arm64 5.26.1-6
2018-04-26 18:11:02 status unpacked perl-base:arm64 5.26.1-6
2018-04-26 18:11:02 status half-installed perl-base:arm64 5.26.1-6
2018-04-26 18:11:03 status half-installed perl-base:arm64 5.26.1-6
2018-04-26 18:11:03 status unpacked perl-base:arm64 5.26.1-6
2018-04-26 18:11:03 status unpacked perl-base:arm64 5.26.1-6
2018-04-26 18:11:03 install procps:arm64 <none> 2:3.3.12-3ubuntu1
2018-04-26 18:11:03 status half-installed procps:arm64 2:3.3.12-3ubuntu1
2018-04-26 18:11:03 status unpacked procps:arm64 2:3.3.12-3ubuntu1
2018-04-26 18:11:03 status unpacked procps:arm64 2:3.3.12-3ubuntu1
2018-04-26 18:11:03 install sed:arm64 <none> 4.4-2
2018-04-26 18:11:03 status half-installed sed:arm64 4.4-2
